V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,Class
0.0,36804.0,36804.0,170.0,-21.0,0.0,0.0,10905.0,0.0,0.0,7305.0,7305.0,170.0,4600.0,0.0,40.0,0.0,10.0,0.0,1
0.0,21299.0,36804.0,0.0,21.0,21299.0,58443.0,10905.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,123.0,0.0,9.0,0.0,1
1035.0,14313.0,14313.0,0.0,8.0,1789.0,66264.0,4241.0,8283.0,14313.0,66.0,66.0,0.0,0.0,235.0,141.0,0.0,4.0,0.0,1
0.0,21299.0,36804.0,21.0,21.0,4600.0,36804.0,10905.0,0.0,0.0,170.0,170.0,0.0,0.0,5327.0,159.0,0.0,9.0,0.0,1
0.0,14313.0,14313.0,0.0,-8.0,0.0,66264.0,4241.0,66.0,0.0,66.0,66.0,0.0,-66.0,132.0,20.0,15.0,4.0,0.0,1
0.0,-14313.0,14313.0,28.0,8.0,0.0,0.0,4241.0,0.0,0.0,0.0,0.0,181829.0,66264.0,1.0,0.0,24.0,4.0,0.0,0
0.0,36804.0,36804.0,-170.0,21.0,0.0,0.0,10905.0,0.0,0.0,7305.0,7305.0,0.0,0.0,0.0,52.0,0.0,43.0,0.0,1
1035.0,530.0,14313.0,0.0,8.0,1789.0,4241.0,4241.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,229.0,19.0,3.0,-4241.0,1
1035.0,4241.0,14313.0,0.0,-8.0,1789.0,4241.0,4241.0,0.0,530.0,66.0,66.0,0.0,181829.0,10.0,8.0,20.0,22.0,-4241.0,0
0.0,1363.0,36804.0,72.0,21.0,0.0,0.0,-36804.0,0.0,0.0,1363.0,0.0,0.0,4600.0,196.0,1.0,56.0,53.0,0.0,1
0.0,4241.0,14313.0,0.0,8.0,1789.0,0.0,4241.0,1789.0,0.0,0.0,0.0,0.0,0.0,46.0,129.0,17.0,3.0,-8283.0,1
1035.0,4241.0,14313.0,0.0,8.0,8283.0,0.0,4241.0,8283.0,14313.0,66.0,66.0,0.0,0.0,109.0,23.0,0.0,3.0,0.0,1
0.0,8283.0,14313.0,0.0,8.0,1789.0,0.0,4241.0,66.0,0.0,0.0,0.0,0.0,530.0,80.0,29.0,19.0,4.0,0.0,0
4600.0,36804.0,36804.0,72.0,21.0,21299.0,0.0,10905.0,0.0,0.0,170.0,170.0,0.0,0.0,76467.0,910.0,0.0,10.0,0.0,1
1035.0,14313.0,14313.0,0.0,-8.0,1789.0,4241.0,4241.0,0.0,14313.0,66.0,66.0,0.0,0.0,0.0,11.0,0.0,4.0,-4241.0,1
0.0,36804.0,36804.0,-170.0,21.0,0.0,0.0,-36804.0,0.0,0.0,0.0,0.0,21299.0,58443.0,10.0,0.0,64.0,11.0,-21299.0,0
1035.0,8283.0,-530113.0,-28.0,8.0,0.0,66264.0,4241.0,8283.0,0.0,0.0,0.0,0.0,-66.0,49.0,16.0,11.0,3.0,-8283.0,1
0.0,36804.0,36804.0,0.0,21.0,0.0,0.0,-36804.0,0.0,0.0,0.0,0.0,0.0,4600.0,0.0,3.0,53.0,59.0,0.0,0
