LSOA,population_per_hectare
E01027533,49.8
E01027540,4.3
E01027549,14.8
E01033716,18.8
E01027524,15.9
E01027525,1.6
E01027526,33.5
E01027527,59.2
E01027536,40.1
E01027532,18.2
E01027537,58.2
E01027538,21.0
E01027530,17.3
E01027531,3.9
E01027534,32.1
E01027535,28.3
E01027553,5.5
E01027554,34.5
E01027515,38.6
E01027517,13.0
E01027518,41.0
E01027519,48.7
E01027550,25.0
E01027551,39.9
E01027552,1.5
E01027514,5.0
E01027516,23.1
E01027520,19.9
E01027521,2.4
E01027522,14.2
E01027523,24.2
E01012100,38.5
E01012101,39.5
E01012102,83.8
E01012184,55.9
E01012105,35.5
E01012142,39.2
E01012143,67.3
E01012144,45.6
E01012106,50.0
E01012107,0.8
E01032560,0.7
E01032561,28.2
E01012176,38.4
E01012177,36.8
E01012178,21.1
E01012179,29.2
E01012180,55.0
E01012185,77.3
E01012186,32.2
E01012127,59.4
E01012128,50.7
E01012129,47.7
E01012130,37.0
E01012131,39.6
E01012138,3.9
E01012139,37.9
E01012140,23.8
E01012141,16.5
E01012154,46.3
E01012155,5.6
E01012156,42.5
E01012157,41.4
E01012158,13.2
E01012159,60.5
E01012160,15.6
E01012161,18.2
E01012113,57.3
E01012114,27.7
E01012175,69.5
E01033471,18.4
E01012095,2.6
E01012097,16.4
E01012098,9.9
E01012099,29.7
E01012108,60.2
E01012109,5.0
E01012110,65.1
E01012111,52.3
E01012171,43.1
E01012172,57.8
E01012162,15.2
E01012163,6.7
E01012164,1.8
E01012165,30.7
E01012096,7.7
E01012136,23.3
E01033473,15.4
E01012112,13.7
E01012145,49.7
E01012147,38.6
E01012149,10.4
E01012132,0.7
E01012134,1.1
E01012137,0.6
E01012181,1.9
E01012117,23.2
E01012118,82.1
E01012119,1.1
E01012121,16.5
E01032548,16.7
E01032549,21.9
E01033472,66.3
E01012120,1.1
E01012124,0.8
E01012182,1.3
E01012183,6.5
E01012148,41.9
E01012150,30.0
E01012151,12.2
E01012152,16.8
E01032594,14.4
E01012146,28.5
E01012167,13.4
E01012168,36.9
E01012170,8.9
E01012173,30.3
E01012174,35.7
E01033470,9.1
E01012242,36.7
E01012243,67.0
E01012244,52.1
E01012246,56.8
E01012296,29.7
E01012297,14.6
E01012197,52.3
E01012256,42.2
E01012257,58.3
E01012275,49.7
E01012276,31.5
E01012277,49.0
E01012196,44.1
E01012198,0.6
E01012214,58.7
E01012215,54.1
E01012216,10.0
E01012245,36.5
E01012278,3.3
E01012279,10.7
E01012280,47.9
E01012281,43.6
E01012255,15.6
E01012269,0.4
E01012294,1.2
E01012295,2.2
E01033476,4.5
E01033480,0.7
E01012210,20.8
E01012211,19.7
E01012212,30.1
E01012213,47.7
E01012192,53.0
E01012193,55.9
E01012260,29.3
E01012261,22.4
E01012247,51.9
E01012249,26.1
E01012271,35.9
E01012272,50.5
E01012273,66.2
