CP,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
20531,53.262922249999995,-3.4406975589999993,0.0,116.4,28059.0,115.8,5692.2,2424.2
20533,51.695456990000004,-2.87904368,0.6,102.2,19166.0,83.6,3820.0,3088.4
20534,52.65133529,-3.3368947110000002,0.0,14.2,2316.4,22.6,584.4,139.4
20535,51.68569322,-3.7510050759999998,2.4,120.6,16542.4,47.0,3977.8,972.0
20536,51.750585486,-3.4573448614,1.8,63.0,11966.2,119.4,2951.4,1020.0
20539,52.99550455999999,-3.938399354,1.0,42.2,3122.6,133.2,768.8,179.4
20541,52.54184261,-3.47595148,8.0,22.4,2722.4,58.6,348.8,431.0
20542,52.25120284,-3.46598998,9.8,33.2,2761.4,44.4,587.6,440.4
20543,52.070075462,-3.3036485410000003,1.2,62.2,4563.6,45.0,960.6,373.0
20547,51.56898061,-3.2774548779999995,2.0,322.2,54136.2,310.0,9124.8,2271.2
20548,51.485975970000005,-3.18321671,707.4,215.0,16126.4,906.6,1857.4,261.6
20549,51.72384394000001,-4.969893700000001,35.2,80.0,9564.2,100.8,1874.0,421.6
20551,52.01587329,-3.241739543,0.0,37.2,1832.0,18.0,439.4,82.4
20553,51.775039449999994,-4.02674405,5.4,65.8,6482.4,122.0,1223.8,362.6
20554,52.133925,-3.6085383280000003,1.0,56.2,1703.2,22.4,456.6,268.2
20555,52.24273491,-3.377802107,27.0,21.8,6917.4,59.4,1145.2,274.8
20558,52.993716410000005,-3.030633157,5.8,193.8,29606.2,126.0,5329.2,2330.6
20560,53.11554478000001,-4.268062496000001,15.6,71.0,15423.0,191.4,3344.4,693.8
20563,52.44558751999999,-4.025992357,29.0,81.6,7449.4,93.4,1321.2,204.2
20564,52.217083869999996,-4.278793151,3.2,60.8,6665.8,70.6,1126.6,278.0
20566,51.95636019999999,-5.05766706,1.0,27.0,1382.2,32.0,261.6,44.2
20567,52.50852677,-3.326897691,224.0,119.6,15917.8,286.6,3358.6,1158.2
20569,53.130944750000005,-3.2159625079999996,19.2,127.0,4923.2,36.4,1020.6,269.0
20573,52.07137806000001,-3.16853414,5.0,24.8,2402.6,36.8,723.4,377.6
20574,51.8314424,-2.714366325,5.2,41.6,1827.4,43.2,356.6,32.6
20575,51.72741974,-3.1360841369999997,2.0,74.4,9565.4,83.8,2072.8,328.4
20577,51.566894860000005,-3.2532437960000005,36.0,193.8,31584.0,178.6,5482.6,1249.8
20583,51.505566299999984,-3.5876045930000005,26.8,54.4,13425.6,198.8,1598.8,117.4
20584,51.66128377,-3.8187432180000003,14.0,159.4,21410.2,250.2,3206.8,478.2
20585,52.104758368,-4.1225135208,2.2,16.6,2751.0,64.4,664.2,96.4
20586,51.798085089999994,-4.082396456000001,12.0,88.0,10289.2,105.0,2239.0,478.4
